number,name,theme,subtheme,rating
5005222,THE LEGO® BATMAN MOVIE Batman™ Minifigure Alarm Clock,Gear,Watches/Clocks,
5005223,THE LEGO® BATMAN MOVIE Robin™ Minifigure Alarm Clock,Gear,Watches/Clocks,
5005224,Batgirl Minifigure Link Watch,Gear,Watches/Clocks,
5005226,THE LEGO® BATMAN MOVIE Batgirl™ Minifigure Alarm Clock,Gear,Watches/Clocks,
5005227,The Joker Minifigure Link Watch,Gear,Watches/Clocks,
5005228,THE LEGO® BATMAN MOVIE Harley Quinn™ Minifigure Alarm Clock,Gear,Watches/Clocks,
5005229,THE LEGO® BATMAN MOVIE The Joker™ Minifigure Alarm Clock,Gear,Watches/Clocks,
5005299,Batgirl Key Light,Gear,Lights,
5005301,Harley Quinn Key Light,Gear,Lights,
5005317,Easter Bunny Batman Key Light,Gear,Lights,
5005320,Batman Prestige Costume,Gear,Clothing,
5005321,Batgirl Prestige Costume,Gear,Clothing,
5005333,Batman Minifigure Link Watch,Gear,Watches/Clocks,
5005334,Robin Minifigure Link Watch,Gear,Watches/Clocks,
5005335,Batman Minifigure Alarm Clock,Gear,Watches/Clocks,
5005336,Batgirl Minifigure Link Watch,Gear,Watches/Clocks,
5005337,The Joker Minifigure Link Watch,Gear,Watches/Clocks,
5005338,Harley Quinn Minifigure Alarm Clock,Gear,Watches/Clocks,
5005345,Ultimate Vehicle Kit,The LEGO Batman Movie,Virtual Product Collection,
,Batman,The LEGO Batman Movie,Magazine Gift,
,The Joker,The LEGO Batman Movie,Magazine Gift,
,Detention Block Rescue,Star Wars,,
,Policeman and crook,City,Magazine Gift,
,Workman and wheelbarrow,City,Magazine Gift,
,Mr. Spry and His Lemonade Stand,Elves,Magazine Gift,
,Bear in Cave,Friends,Magazine gift,
,Kitten Felix,Friends,Magazine gift,
,Fruit Bar,Friends,Magazine gift,
,The LEGO BATMAN MOVIE: The Making of the Movie,Books,Dorling Kindersley,5.0
,"How to Build Brick Cars: Detailed LEGO Designs for Sports Cars, Race Cars, and Muscle Cars",Books,Motorbooks,
,The LEGO Batman Movie: Chaos in Gotham City,Books,Scholastic,
,Brick Buildings: 40 Clever & Creative Ideas to Make from Classic LEGO,Books,Barron's Educational Series,
,Ultimate LEGO Star Wars: Characters Creatures Locations Technology Vehicles,Books,Dorling Kindersley,
,The LEGO BATMAN MOVIE: The Essential Guide,Books,Dorling Kindersley,
,DC Comics Super Heroes: The Awesome Guide,Books,Dorling Kindersley,
,NEXO KNIGHTS Build Your Own Adventure,Books,Dorling Kindersley,
,DC Comics Super Heroes Build Your Own Adventure,Books,Dorling Kindersley,
,The LEGO NINJAGO MOVIE: The Essential Guide,Books,Dorling Kindersley,
,The LEGO NINJAGO MOVIE: The Making of the Movie,Books,Dorling Kindersley,
,NEXO KNIGHTS Character Encyclopedia,Books,Dorling Kindersley,
,The LEGO BATMAN MOVIE: The Essential Collection,Books,Dorling Kindersley,
,LEGO: Absolutely Everything You Need to Know,Books,Dorling Kindersley,
,Build It! Things That Fly,Books,Graphic Arts Books,
,Build It! Things That Float,Books,Graphic Arts Books,
,Build It! Things That Go,Books,Graphic Arts Books,
,"The LEGO Adventure Book, Vol. 4: Monsters, Mecha & More!",Books,No Starch Press,
,Epic LEGO Adventures with Bricks You Already Have,Books,Page Street Publishing,
,Building Amazing Creations: Sean Kenney's Art with Lego Bricks,Books,Henry Holt & Co.,
,Beasts from Bricks: Amazing LEGO Designs for Animals from Around the World,Books,Quarry,
,The Streets of Brickingdon,Books,Spiderwize,5.0
,"Tips, Tricks & Building Techniques: The Big Unofficial LEGO Builders Book",Books,Heel-Verlag,
,LEGO Tips for Kids: Minions ,Books,Heel-Verlag,
,LEGO Tips for Kids: Transformers,Books,Heel-Verlag,
,Mini Batmobile,The LEGO Batman Movie,Promotional,
,Clay,Nexo Knights,Magazine Gift,
,Merlok 2.0,Nexo Knights,Magazine Gift,
,Robin,Nexo Knights,Magazine Gift,
,Lance's Cart,Nexo Knights,Magazine Gift,
,Jay,Ninjago,Magazine Gift,
,Cole,Ninjago,Magazine Gift,
,Kai,Ninjago,Magazine Gift,
,Zane,Ninjago,Magazine Gift,
,Flash Speeder,Star Wars,Magazine Gift,
,Kanan Jarrus,Star Wars,Magazine Gift,
,The Ghost,Star Wars,Magazine Gift,
,Imperial Combat Driver,Star Wars,Magazine Gift,
,TIE Advanced,Star Wars,Magazine Gift,
,Flying Batmobile,The LEGO Batman Movie,Promotional,
,Monster,Nexo Knights,Miscellaneous,
