number,name,image,theme,subtheme,rating,pieces,minifigs,us_price,eu_price,owner,want_it
40130,Koala (Uniqlo edition),https://images.brickset.com/sets/small/40130-2.jpg,Promotional,Uniqlo,,,,,,19,40
40131,Parrot (Uniqlo edition),https://images.brickset.com/sets/small/40131-2.jpg,Promotional,Uniqlo,,,,,,26,37
40161,What am I?,https://images.brickset.com/sets/small/40161-1.jpg,Miscellaneous,,,536,16,29.99,34.99,721,403
40165,Minifigure Wedding Favour Set,https://images.brickset.com/sets/small/40165-1.jpg,Miscellaneous,,5.0,89,2,9.99,7.99,2407,417
40166,LEGOLAND Train,https://images.brickset.com/sets/small/40166-1.jpg,Promotional,LEGOLAND,5.0,210,4,,,845,467
40167,My First Set,https://images.brickset.com/sets/small/40167-1.jpg,Duplo,,,10,,,,164,29
40179,Personalised Mosaic Portrait,https://images.brickset.com/sets/small/40179-1.jpg,Miscellaneous,,3.0,,,,,31,173
40201,Valentine's Cupid Dog,https://images.brickset.com/sets/small/40201-1.jpg,Seasonal,Valentine's Day,,150,,9.99,9.99,1710,370
40202,Easter Chick,https://images.brickset.com/sets/small/40202-1.jpg,Seasonal,Easter,,111,,9.99,9.99,1831,285
40203,Vampire and Bat,https://images.brickset.com/sets/small/40203-1.jpg,Seasonal,Halloween,,150,,5.99,,1491,316
40204,Pilgrim's Feast,https://images.brickset.com/sets/small/40204-1.jpg,Seasonal,Thanksgiving,,163,,5.99,,1226,161
40205,Little Elf Helpers,https://images.brickset.com/sets/small/40205-1.jpg,Seasonal,Christmas,,238,,9.99,,1428,182
40206,Santa,https://images.brickset.com/sets/small/40206-1.jpg,Seasonal,Christmas,,155,,9.99,,1641,209
40207,Year of the Monkey,https://images.brickset.com/sets/small/40207-1.jpg,Creator,Chinese New Year,,165,,,,581,520
40208,Polar Bear,https://images.brickset.com/sets/small/40208-1.jpg,Promotional,Monthly Mini Model Build,,,,,,317,215
40209,Snowmobile,https://images.brickset.com/sets/small/40209-1.jpg,Promotional,Monthly Mini Model Build,,,,,,262,194
40210,Bunny,https://images.brickset.com/sets/small/40210-1.jpg,Promotional,Monthly Mini Model Build,,,,,,288,180
40211,Bee,https://images.brickset.com/sets/small/40211-1.jpg,Promotional,Monthly Mini Model Build,,,,,,294,218
40212,Hedgehog,https://images.brickset.com/sets/small/40212-1.jpg,Promotional,Monthly Mini Model Build,,,,,,300,312
40213,Seaplane,https://images.brickset.com/sets/small/40213-1.jpg,Promotional,Monthly Mini Model Build,,,,,,231,113
40214,Frog,https://images.brickset.com/sets/small/40214-1.jpg,Promotional,Monthly Mini Model Build,5.0,,,,,245,159
40215,Apple,https://images.brickset.com/sets/small/40215-1.jpg,Promotional,Monthly Mini Model Build,,58,,,,273,197
40216,School Bus,https://images.brickset.com/sets/small/40216-1.jpg,Promotional,Monthly Mini Model Build,,,,,,244,139
40217,Werewolf,https://images.brickset.com/sets/small/40217-1.jpg,Promotional,Monthly Mini Model Build,,,,,,225,125
40218,Fox,https://images.brickset.com/sets/small/40218-1.jpg,Promotional,Monthly Mini Model Build,,,,,,217,151
40219,Christmas present,https://images.brickset.com/sets/small/40219-1.jpg,Promotional,Monthly Mini Model Build,,,,,,199,253
40220,London Bus,https://images.brickset.com/sets/small/40220-1.jpg,Creator,,5.0,118,,,,4445,755
40221,Fountain,https://images.brickset.com/sets/small/40221-1.jpg,Creator,,4.8,105,2,,,5054,1156
40222,Christmas Build-Up,https://images.brickset.com/sets/small/40222-1.jpg,Seasonal,Christmas,2.0,250,,,,4182,190
40223,Snowglobe,https://images.brickset.com/sets/small/40223-1.jpg,Seasonal,Christmas,4.8,215,1,,,4776,1216
40225,Rio 2016 Mascots,https://images.brickset.com/sets/small/40225-1.jpg,Promotional,Miscellaneous,4.0,197,,,,118,208
40226,Birthday Buddy,https://images.brickset.com/sets/small/40226-1.jpg,Miscellaneous,,,,,,,39,365
40227,MSC Meraviglia,https://images.brickset.com/sets/small/40227-1.jpg,Promotional,Miscellaneous,,180,,,,106,394
40228,Geoffrey & Friends,https://images.brickset.com/sets/small/40228-1.jpg,Promotional,Toys R Us,4.0,133,2,9.99,9.99,1286,243
41065,Rapunzel's Best Day Ever,https://images.brickset.com/sets/small/41065-1.jpg,Disney,Tangled,,145,1,19.99,24.99,486,346
41066,Anna & Kristoff's Sleigh Adventure,https://images.brickset.com/sets/small/41066-1.jpg,Disney,Frozen,,174,2,29.99,29.99,1888,550
41067,Belle's Enchanted Castle,https://images.brickset.com/sets/small/41067-1.jpg,Disney,Beauty and the Beast,4.0,374,8,49.99,49.99,1091,568
41068,Arendelle Castle Celebration,https://images.brickset.com/sets/small/41068-1.jpg,Disney,Frozen,,477,6,59.99,59.99,1640,596
41069,Treasure's Day at the Pool,https://images.brickset.com/sets/small/41069-1.jpg,Disney,Palace Pets,,70,,5.99,3.99,806,228
41110,Birthday Party,https://images.brickset.com/sets/small/41110-1.jpg,Friends,Party,,191,1,19.99,19.99,835,361
41111,Party Train,https://images.brickset.com/sets/small/41111-1.jpg,Friends,Party,,109,1,9.99,9.99,1545,346
41112,Party Cakes,https://images.brickset.com/sets/small/41112-1.jpg,Friends,Party,,50,,4.99,4.99,1724,302
41113,Party Gift Shop,https://images.brickset.com/sets/small/41113-1.jpg,Friends,Party,,52,,4.99,4.99,1343,273
41114,Party Styling,https://images.brickset.com/sets/small/41114-1.jpg,Friends,Party,,54,,4.99,4.99,1149,257
41115,Emma's Creative Workshop,https://images.brickset.com/sets/small/41115-1.jpg,Friends,,4.0,108,1,9.99,9.99,1139,338
41116,Olivia's Exploration Car,https://images.brickset.com/sets/small/41116-1.jpg,Friends,,,185,1,14.99,14.99,1201,344
