number,name,image,theme,subtheme,year,rating,pieces,minifigs,us_price,eu_price,owner,want_it
10255,Assembly Square,https://images.brickset.com/sets/small/10255-1.jpg,Advanced Models,Modular Buildings,2017,5.0,4002,9,279.99,239.99,2820,4727
10257,Carousel,https://images.brickset.com/sets/small/10257-1.jpg,Advanced Models,Fairground,2017,,2670,,199.99,179.99,,
10703,Creative Builder Box,https://images.brickset.com/sets/small/10703-1.jpg,Classic,,2017,,502,,,24.99,225,346
10704,Creative Box,https://images.brickset.com/sets/small/10704-1.jpg,Classic,,2017,,900,,,34.99,83,198
10706,Blue Creative Box,https://images.brickset.com/sets/small/10706-1.jpg,Classic,,2017,4.0,78,,4.99,4.99,520,175
10707,Red Creative Box,https://images.brickset.com/sets/small/10707-1.jpg,Classic,,2017,,55,,4.99,4.99,427,154
10708,Green Creative Box,https://images.brickset.com/sets/small/10708-1.jpg,Classic,,2017,,66,,4.99,4.99,444,177
10709,Orange Creative Box,https://images.brickset.com/sets/small/10709-1.jpg,Classic,,2017,,60,,4.99,4.99,471,165
10730,Lightning McQueen Speed Launcher,https://images.brickset.com/sets/small/10730-1.jpg,Juniors,Cars 3,2017,,47,,9.99,,13,167
10731,Cruz Ramirez Race Simulator,https://images.brickset.com/sets/small/10731-1.jpg,Juniors,Cars 3,2017,,59,,9.99,,9,133
10732,Guido and Luigi's Pit Stop,https://images.brickset.com/sets/small/10732-1.jpg,Juniors,Cars 3,2017,,75,,9.99,,7,148
10733,Mater's Junkyard,https://images.brickset.com/sets/small/10733-1.jpg,Juniors,Cars 3,2017,,62,,9.99,,12,164
10734,Demolition Site,https://images.brickset.com/sets/small/10734-1.jpg,Juniors,City,2017,,175,,29.99,29.99,81,223
10735,Police Truck Chase,https://images.brickset.com/sets/small/10735-1.jpg,Juniors,City,2017,,90,,19.99,19.99,88,124
10736,Anna and Elsa's Frozen Playground,https://images.brickset.com/sets/small/10736-1.jpg,Juniors,Disney Princess,2017,,94,,24.99,24.99,124,279
10737,Batman vs. Mr. Freeze,https://images.brickset.com/sets/small/10737-1.jpg,Juniors,DC Comics Super Heroes,2017,3.0,63,2,14.99,14.99,347,438
10738,Snow White's Forest Cottage,https://images.brickset.com/sets/small/10738-1.jpg,Juniors,,2017,,67,,,,,
10739,Shark Attack,,Juniors,Ninjago,2017,,,,,,,
10740,Fire Patrol Suitcase,https://images.brickset.com/sets/small/10740-1.jpg,Juniors,City,2017,,110,2,19.99,19.99,78,91
10742,Willy's Butte Speed Training,https://images.brickset.com/sets/small/10742-1.jpg,Juniors,Cars 3,2017,,95,,19.99,,12,143
10743,Smokey's Garage,https://images.brickset.com/sets/small/10743-1.jpg,Juniors,Cars 3,2017,,116,,19.99,,10,137
10744,Thunder Hollow Crazy 8 Race,https://images.brickset.com/sets/small/10744-1.jpg,Juniors,Cars 3,2017,,191,,34.99,,8,142
10745,Florida 500 Race Final,,Juniors,Cars 3,2017,,,,,,,
10746,Mia's Farm Suitcase,https://images.brickset.com/sets/small/10746-1.jpg,Juniors,Friends,2017,,100,,19.99,19.99,47,108
10747,Andrea and Stephanie's Beach Holiday,https://images.brickset.com/sets/small/10747-1.jpg,Juniors,Friends,2017,,143,,29.99,29.99,48,134
10823,Batwing Adventure,https://images.brickset.com/sets/small/10823-1.jpg,Duplo,,2017,,28,,29.99,29.99,36,90
10832,Birthday Party,https://images.brickset.com/sets/small/10832-1.jpg,Duplo,,2017,,19,3,14.99,14.99,35,36
10833,Nursery School,https://images.brickset.com/sets/small/10833-1.jpg,Duplo,,2017,,39,3,19.99,19.99,41,42
10834,Pizzeria,https://images.brickset.com/sets/small/10834-1.jpg,Duplo,,2017,,57,3,29.99,29.99,39,56
10835,Family House,https://images.brickset.com/sets/small/10835-1.jpg,Duplo,,2017,,69,,39.99,39.99,31,57
