number,name,image,theme,subtheme,year,rating,pieces,minifigs,us_price,eu_price,owner,want_it
5004603,Superman Minifigure Link Watch,https://images.brickset.com/sets/small/5004603-1.jpg,Gear,Watches/Clocks,2015,,,,24.99,,12,12
5004604,Classic Minifigure Link Watch,https://images.brickset.com/sets/small/5004604-1.jpg,Gear,Watches/Clocks,2015,,,,24.99,,9,12
5004605,Boba Fett Minifigure Watch,https://images.brickset.com/sets/small/5004605-1.jpg,Gear,Watches/Clocks,2015,,,,24.99,,15,24
5004606,Darth Maul Watch,https://images.brickset.com/sets/small/5004606-1.jpg,Gear,Watches/Clocks,2015,,,,24.99,,17,19
5004607,Darth Vader Watch,https://images.brickset.com/sets/small/5004607-1.jpg,Gear,Watches/Clocks,2015,,,,24.99,,45,20
5004608,Luke Skywalker Watch,https://images.brickset.com/sets/small/5004608-1.jpg,Gear,Watches/Clocks,2015,,,,24.99,,15,19
5004609,Yoda Minifigure Watch,https://images.brickset.com/sets/small/5004609-1.jpg,Gear,Watches/Clocks,2015,,,,24.99,,14,18
5004610,Yoda Watch,,Gear,Watches/Clocks,2015,,,,24.99,,7,13
5004611,Emmet Minifigure Watch,https://images.brickset.com/sets/small/5004611-1.jpg,Gear,Watches/Clocks,2015,,,,24.99,,17,17
5004750,Kai Key Light,https://images.brickset.com/sets/small/5004750-1.jpg,Gear,Lights,2015,,,,,12.99,22,19
5004751,Wonder Woman Key Light,https://images.brickset.com/sets/small/5004751-1.jpg,Gear,Lights,2015,,,,,9.09,66,34
5004752,Boba Fett Key Light,https://images.brickset.com/sets/small/5004752-1.jpg,Gear,Lights,2015,,,,,9.09,89,37
5004796,Jay Key Light,https://images.brickset.com/sets/small/5004796-1.jpg,Gear,Lights,2015,,,,,12.99,11,18
5004805,Jurassic World Nintendo 3DS Video Game,https://images.brickset.com/sets/small/5004805-1.jpg,Gear,Video Games/3DS,2015,,,,29.99,,46,20
5004806,Jurassic World PS3 Video Game,https://images.brickset.com/sets/small/5004806-1.jpg,Gear,Video Games/PS3,2015,5.0,,,49.99,,152,40
5004807,Jurassic World Wii U Video Game,https://images.brickset.com/sets/small/5004807-1.jpg,Gear,Video Games/Wii U,2015,5.0,,,49.99,,110,37
5004808,Jurassic World XBOX 360 Video Game,https://images.brickset.com/sets/small/5004808-1.jpg,Gear,Video Games/Xbox 360,2015,,,,49.99,,145,38
5004816,Super Heroes DC Collection,https://images.brickset.com/sets/small/5004816-1.jpg,DC Comics Super Heroes,Product Collection,2015,,,,149.98,,162,263
5004849,Legend of the fire Chi series 2 part 2,https://images.brickset.com/sets/small/5004849-1.jpg,Gear,Digital media,2015,,,,19.99,,8,21
5004851,Friends Together Again,https://images.brickset.com/sets/small/5004851-1.jpg,Gear,Digital media,2015,,,,14.99,,15,21
5004854,Star Wars in 100 Scenes poster,,Gear,Posters,2015,,,,18.99,,9,15
5004882,Star Wars episode I poster,,Gear,Posters,2015,,,,,,62,18
5004883,Star Wars Episode II poster,,Gear,Posters,2015,,,,,,62,19
5004884,Star Wars Episode III poster,,Gear,Posters,2015,,,,,,61,19
5004888,Star Wars Episode VI poster,,Gear,Posters,2015,,,,,,64,21
5004890,Minifigure Display Case 8 – Red,https://images.brickset.com/sets/small/5004890-1.jpg,Gear,Storage,2015,,,,19.99,,47,75
5004891,2 stud Yellow Storage Brick,,Gear,Storage,2015,,,,14.99,,6,22
5004892,Minifigure Display Case 16 – Red,https://images.brickset.com/sets/small/5004892-1.jpg,Gear,Storage,2015,,,,29.99,,165,156
5004893,4 stud Yellow Storage Brick,https://images.brickset.com/sets/small/5004893-1.jpg,Gear,Storage,2015,,,,19.99,,36,35
5004894,Storage Brick Multi Pack,https://images.brickset.com/sets/small/5004894-1.jpg,Gear,Storage,2015,,,,29.99,,44,42
5004895,Storage Brick Multi-Pack,https://images.brickset.com/sets/small/5004895-1.jpg,Gear,Storage,2015,,,,49.99,,21,50
5004896,Square Drinking Bottle – Blue with Red Lid,https://images.brickset.com/sets/small/5004896-1.jpg,Gear,Housewares,2015,,,,9.99,,12,46
5004897,Square Drinking Bottle – Red with Yellow Lid,https://images.brickset.com/sets/small/5004897-1.jpg,Gear,Housewares,2015,,,,9.99,,13,45
